EventTopic,valueList.eventTopic.accounting,Accounting
EventTopic,valueList.eventTopic.B2B,B2B
EventTopic,valueList.eventTopic.businessManagement,Business Management
EventTopic,valueList.eventTopic.consulting,Consulting
EventTopic,valueList.eventTopic.education,Education
EventTopic,valueList.eventTopic.Entrepreneurship,Entrepreneurship
EventTopic,valueList.eventTopic.export,Export
EventTopic,valueList.eventTopic.finance,Finance
EventTopic,valueList.eventTopic.humanResources,Human Resources
EventTopic,valueList.eventTopic.Investment,Investment
EventTopic,valueList.eventTopic.legal,Legal
EventTopic,valueList.eventTopic.management,Management
EventTopic,valueList.eventTopic.marketingCommunication,Marketing and Communication
EventTopic,valueList.eventTopic.networking,Networking
EventTopic,valueList.eventTopic.sourcing,Sourcing
EventTopic,valueList.eventTopic.tax,Tax 
EventTopic,valueList.eventTopic.transportationLogistics,Transportation and logistics
